symboling,fueltype,aspiration,doornumber,carbody,drivewheel,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,price,avg_mpg,hp_per_weight,brand_tier
3,gas,std,2,convertible,rwd,88.6,168.8,64.1,48.8,2548,dohc,4,130,mpfi,3.47,2.68,9.0,111,5000,13495.0,24.0,0.04356357927786499,mid
3,gas,std,2,convertible,rwd,88.6,168.8,64.1,48.8,2548,dohc,4,130,mpfi,3.47,2.68,9.0,111,5000,16500.0,24.0,0.04356357927786499,mid
1,gas,std,2,hatchback,rwd,94.5,171.2,65.5,52.4,2823,ohcv,6,152,mpfi,2.68,3.47,9.0,154,5000,16500.0,22.5,0.05455189514700673,mid
2,gas,std,4,sedan,fwd,99.8,176.6,66.2,54.3,2337,ohc,4,109,mpfi,3.19,3.4,10.0,102,5500,13950.0,27.0,0.043645699614890884,premium
2,gas,std,4,sedan,4wd,99.4,176.6,66.4,54.3,2824,ohc,5,136,mpfi,3.19,3.4,8.0,115,5500,17450.0,20.0,0.04072237960339943,premium
2,gas,std,2,sedan,fwd,99.8,177.3,66.3,53.1,2507,ohc,5,136,mpfi,3.19,3.4,8.5,110,5500,15250.0,22.0,0.043877143996808934,premium
1,gas,std,4,sedan,fwd,105.8,192.7,71.4,55.7,2844,ohc,5,136,mpfi,3.19,3.4,8.5,110,5500,17710.0,22.0,0.03867791842475387,premium
1,gas,std,4,wagon,fwd,105.8,192.7,71.4,55.7,2954,ohc,5,136,mpfi,3.19,3.4,8.5,110,5500,18920.0,22.0,0.037237643872714964,premium
1,gas,turbo,4,sedan,fwd,105.8,192.7,71.4,55.9,3086,ohc,5,131,mpfi,3.13,3.4,8.3,140,5500,23875.0,18.5,0.04536616979909268,premium
0,gas,turbo,2,hatchback,4wd,99.5,178.2,67.9,52.0,3053,ohc,5,131,mpfi,3.13,3.4,7.0,160,5500,17859.167,19.0,0.05240746806419915,premium
2,gas,std,2,sedan,rwd,101.2,176.8,64.8,54.3,2395,ohc,4,108,mpfi,3.5,2.8,8.8,101,5800,16430.0,26.0,0.042171189979123176,premium
0,gas,std,4,sedan,rwd,101.2,176.8,64.8,54.3,2395,ohc,4,108,mpfi,3.5,2.8,8.8,101,5800,16925.0,26.0,0.042171189979123176,premium
